domain,severity,public_comment,reject_media,reject_reports,obfuscate
youjo.love,noop,,True,False,False
nnia.space,noop,,True,False,False
freak.university,noop,,True,False,False
sad.cab,noop,,True,False,False
lolison.top,noop,,True,False,False
pedo.school,noop,,True,False,False
rapemeat.solutions,noop,,True,False,False
ghetti.monster,noop,,True,False,False
xhais.love,noop,,True,False,False
horserock.xyz,noop,,True,False,False
lolison.network,noop,,True,False,False
poa.st,silence,,False,False,False
respublicae.eu,suspend,,True,True,False
